Name,MW,Volume,SA,%_hydro,log_P,HLB,H_acc,H_donor,H_3d,CNS+/-
acetaminophen,151.165,83.0793,10.72,49.5386,0.494,12.71,0.8284,0.55476,15.379,-1
acetylsalicylate,194.187,115.859,15.27,66.9677,1.62,15.562,0.5441,0.02283,7.60558,-1
albuterolsulfate,337.387,47.262,7.565,100,-1.23,20,0.4003,0.7762,14.7768,-1
allopurinol,136.1128,65.5428,7.909,100,-1.486,20,0.8691,0.60792,21.0878,-1
Alprostadil,354.486,205.543,27.66,27.1819,1.117,7.3946,1.5299,0.76239,11.6683,-1
aminophylline,180.166,90.3217,11.35,100,0.2021,20,0.8354,0.27728,10.6627,-1
Amiodarone,645.318,279.083,34.66,19.8972,8.1676,3.9079,0.4861,0.03712,7.64779,-1
amoxicillin,365.403,193.257,24.5,65.2894,-3.6298,15.504,2.4322,1.3648,14.574,-1
ampicillin,349.404,187.438,23.67,59.6211,-2.9628,14.553,2.0899,1.09898,11.2776,-1
androsan,302.456,207.985,26.72,12.8943,4.048,2.9768,0.5802,0.23101,10.2105,-1
aspirin,180.16,104.856,13.74,70.0384,1.394,16.55,0.7865,0.29767,10.9724,-1
Astemizole,458.577,346.325,45.14,28.6254,5.024,7.8998,0.6774,0.31075,7.50218,-1
atropine,290.382,171.955,22.02,76.4387,2.8666,15.517,0.6934,0.29095,7.76083,-1
Auxeomycin,478.885,287.349,37.59,80.1662,-7.1642,18.407,3.2498,1.8663,20.4471,-1
Betamethasone,392.467,268.728,35.89,30.9187,-1.2688,6.7817,1.7962,0.76406,14.9178,-1
carbenicillin,378.399,215.944,27.82,63.4068,-3.7628,14.97,2.0187,0.88235,11.3847,-1
carbidopa,226.232,168.584,24.07,77.1606,-1.741,16.369,1.8007,1.32903,16.4799,-1
cateolol,292.377,168.782,21.89,42.1378,1.2928,9.8591,1.2196,0.67384,11.1786,-1
Cefazolin,454.496,233.831,29.92,84.7014,-7.1492,18.632,1.4547,0.60159,13.1859,-1
cephapirin,423.458,210.628,26.62,76.5637,-4.4932,16.83,1.8601,0.62797,10.3937,-1
chlorambucil,304.216,160.074,21.02,51.7515,2.911,12.755,0.6781,0.29357,8.16285,-1
chloramphenicol,323.132,180.846,24.57,98.2414,-2.347,19.875,2.3382,0.76558,16.1802,-1
chlorothiazide,295.715,159.193,21.16,98.979,-1.419,19.932,1.4224,1.0417,17.3356,-1
chlorpropamide,276.7373,145.39,19.17,79.8239,4.532,17.754,0.9388,0.58784,11.006,-1
Chlortetracycline,478.885,287.349,37.59,80.1662,-7.1642,18.407,3.2498,1.8663,20.4471,-1
chlorthalidone,338.765,202.923,25.93,73.873,0.2252,16.097,1.5965,1.17766,17.0619,-1
clofibrate,242.7017,144.398,19.13,60.269,3.5082,15.951,0.4354,0.02836,5.40552,-1
clofibricacid,214.648,130.554,17.39,67.4761,2.2736,16.823,0.6726,0.30209,8.62268,-1
clotrimazole,344.843,204.539,23.96,29.1888,5.6497,6.6427,0.1504,0.11901,4.85491,-1
corticosterone,346.466,221.089,28.31,28.8915,0.9666,6.0071,1.2404,0.4937,13.3888,-1
Cortisone,360.449,244.232,32.14,32.7877,-1.3188,7.3282,1.5164,0.52928,13.5909,-1
coumarin,146.145,76.2801,8.836,32.6951,2.552,7.6664,0.2385,0.03588,3.30915,-1
dapsone,248.299,137.855,16.98,62.5959,-0.024,13.546,1.5988,1.06843,13.7996,-1
Dehydrocholic_Acid,402.53,221.048,28.23,23.3393,1.051,5.2183,1.1413,0.27306,7.36499,-1
dexamethasone,392.467,268.728,35.89,30.9187,-1.2688,6.7817,1.7962,0.76406,14.9178,-1
dicumarol,336.3,172.036,19.74,50.5239,3.845,12.258,1.1678,0.5861,11.6674,-1
dicyclomine,309.491,192.096,25.64,23.1637,5.511,7.1144,0.4069,0,5.57391,-1
Diethylstilbestrol,268.355,162.747,20.24,18.1899,5.126,4.3254,0.6842,0.58622,13.1931,-1
Digitoxin,764.949,473.895,61.11,55.4598,2.5078,12.665,2.9952,1.13669,12.2671,-1
Digoxin,780.948,481.651,62.27,57.9109,0.2008,13.149,3.3305,1.36234,13.4658,-1
Domperidone,425.917,223.384,26.55,61.3032,2.694,16.845,1.0206,0.56757,8.42175,-1
dopamine,153.18,88.0365,11.47,50.9332,0.099,11.238,1.1862,0.91874,17.3773,-1
doxorubicin,543.5262,277.528,33.99,77.5749,-3.9958,18.192,3.5116,1.66894,17.6936,-1
doxycycline,444.44,240.953,30.48,64.8744,-7.8772,15.536,3.2504,1.86879,20.94,-1
Dyclonine,289.417,171.967,22.07,18.4714,3.714,6.6385,0.4386,0.02234,6.51322,-1
Econazole,381.688,204.875,25.06,74.9159,5.1036,16.431,0.3361,0.09037,7.37159,-1
enkephalin,554.645,404.493,55.96,58.5473,-3.4607,13.137,3.7962,2.332,12.9534,-1
Ephedrine,165.235,101.985,13.34,43.7147,1.0366,8.8473,0.6998,0.46011,11.4119,-1
epinephrine,183.207,143.461,20.44,90.3025,-0.6064,18.359,1.3801,0.99166,18.8934,-1
erythromycin,733.935,451.81,60.86,51.6776,0.143,15.081,3.0751,1.13045,10.337,-1
estradiol,272.386,208.974,27.34,15.1308,4.304,3.3794,0.6798,0.51262,13.2039,-1
estrone,270.3706,203.892,26.43,14.2347,4.062,3.3301,0.5408,0.28628,10.1271,-1
Ethacrynic_Acid,303.141,147.976,19.16,68.4178,2.3456,16.232,0.9475,0.3012,8.37772,-1
ethinylestradiol,296.408,220.109,28.23,14.0364,3.724,3.1055,0.8044,0.74126,13.2087,-1
fenoterol,303.357,189.205,24.25,59.9369,1.2226,13.593,1.7269,1.28282,18.6948,-1
floxuridine,246.1947,132.7,17.46,93.6686,-1.0466,18.457,1.5013,0.73168,15.2239,-1
Flucloxacillin,453.872,224.664,27.69,59.9976,-0.0228,14.925,1.8248,0.60297,9.39797,-1
fluoruoracil,130.0783,60.0415,7.868,86.8184,-0.771,17.079,0.8902,0.56704,25.357,-1
furosemide,330.742,151.203,18.81,69.1891,1.26,15.942,1.5838,1.16672,12.663,-1
ganciclovir,255.233,133.802,17.42,100,-3.7021,20,2.1215,1.26788,20.7611,-1
glycopyrrolate,318.4351,205.249,26.59,52.7151,4.0746,10.816,0.7079,0.28846,6.68983,-1
guanabenz,231.084,109.866,14.21,96.9594,0.386,19.825,1.4731,1.37112,11.4574,-1
guanethidinesulfate,296.384,35.503,5.409,100,-1.23,20,0.4003,0.7762,14.7768,-1
homatropine,275.3468,171.955,22.02,76.4387,2.8666,15.517,0.6934,0.29095,7.76083,-1
hydralazine,160.178,91.6616,11.22,59.2701,-0.5817,13.372,0.8387,0.82897,8.45312,-1
Hydrochlorothiazide,297.731,147.013,19.1,98.8687,-1.0256,19.932,1.4195,1.17945,18.0304,-1
Hydrocortisone,362.465,252.985,33.69,33.1186,-0.8568,7.3431,1.6547,0.75479,15.2257,-1
hydroflumethiazide,331.284,160.676,21.14,76.9524,-0.8556,15.048,1.5797,1.1761,23.1565,-1
hyoscyamine,289.3736,170.149,21.33,41.7763,0.674,12.105,0.729,0.25452,10.7743,-1
ibuprofen,206.284,172.263,24.24,17.2506,4.099,4.3646,0.5389,0.29288,7.53358,-1
indomethacin,357.793,191.765,23.33,56.7074,2.6,15.127,0.8564,0.31856,8.81988,-1
isoniazid,137.141,73.3092,9.547,90.9483,-2.322,19.412,1.1705,0.8383,8.78401,-1
Isoproterenol,211.26,164.361,23.19,69.4358,0.3216,15.635,1.3845,0.99036,17.1127,-1
Isoquercitrin,464.382,228.273,27.91,90.4194,-1.9486,18.748,3.2493,2.01896,21.6959,-1
Ketoconazole,531.438,297.98,36.88,80.2482,4.283,17.361,0.9839,0.08757,7.34864,-1
labetalol,328.41,256.547,35.01,53.5117,1.5986,11.703,1.8369,1.26584,13.9555,-1
levodopa,197.19,148.354,21.12,67.9608,-1.27,14.616,1.8322,1.31758,18.6637,-1
mannitol,182.173,96.213,13.85,100,-4.2124,20,1.9888,1.35894,27.0935,-1
Meclocycline,476.87,255.367,32.08,75.7119,-6.9482,17.478,3.238,1.84933,20.3484,-1
Meclofenamate,296.152,145.113,17.69,56.7662,5.438,13.709,0.7812,0.56931,7.81618,-1
Mefenamic_Acid,241.289,136.482,16.71,26.8173,4.661,6.9671,0.7865,0.57028,7.98413,-1
mefloquine,378.317,191.919,24.15,21.2789,2.7836,4.4448,1.1732,0.45315,14.5181,-1
melphalan,305.2034,157.265,20.71,63.6075,0.583,14.617,1.2779,0.78124,9.84388,-1
mepenzolatebromide,340.4413,219.877,27.99,55.2599,4.1106,10.94,0.6919,0.31679,6.46873,-1
mepiramine,285.388,179.772,22.99,35.9972,2.6689,10.941,0.3829,0.05861,9.77709,-1
mequitazine,322.467,237.082,29.97,6.95848,4.0473,2.4823,0.1129,0.0448,6.08535,-1
mestranol,310.435,231.952,29.91,14.2508,4.31,3.6741,0.5609,0.47048,10.1894,-1
methantheline,340.4413,218.495,27.75,66.9543,4.808,13.881,0.3565,0.04273,6.40151,-1
methotrexate,454.4444,247.989,31.56,73.1409,-3.3257,15.901,3.3561,1.8794,15.2169,-1
Methyclothiazide,360.23,186.755,24.84,99.1304,-0.3276,19.944,1.4517,0.88143,15.4832,-1
methyldopa,211.217,162.312,23.23,64.6741,-0.871,14.687,1.8383,1.31424,17.5827,-1
Methylprednisolone,374.476,256.509,33.83,31.7029,-0.8818,7.1075,1.65,0.76379,14.9409,-1
Miconazole,416.133,269.993,35.69,91.5355,5.8166,19.132,0.3356,0.08754,7.20945,-1
minocycline,457.482,273.01,35.27,58.9386,-6.0242,14.437,2.9182,1.60348,18.7531,-1
nandrolone,274.402,204.73,27.12,13.9257,3.58,3.2811,0.5773,0.23138,10.856,-1
neodicoumarol,408.3636,251.939,31.22,57.5524,3.403,12.986,1.4657,0.5862,11.0684,-1
Nicotinyl_Alcohol,109.127,64.5981,8.343,41.891,-0.373,10.087,0.5525,0.3082,15.1963,-1
norethindrone,298.424,218.819,28.55,12.8373,2.87,3.017,0.7019,0.45994,11.0255,-1
norfenefrine,153.18,122.17,17.23,57.3852,-0.2074,11.632,1.2516,0.91814,19.1952,-1
nylidrin,299.412,203.422,26.21,24.6265,3.3946,5.8166,1.0465,0.75063,12.427,-1
Oxandrolone,306.444,205.919,26.54,15.8318,4.193,3.9822,0.6523,0.22571,9.43654,-1
Oxaprozin,293.321,187.077,22.96,33.0289,3.448,7.7098,0.7603,0.32959,8.15289,-1
oxytetracycline,460.44,247.031,31.35,70.8926,-10.184,16.822,3.583,2.09517,22.5053,-1
papaverine,339.39,308.184,45.45,40.1976,2.752,10.259,0.5563,0.05124,9.33387,-1
penicillin_G,334.389,194.184,24.78,53.4015,-2.4358,13.469,1.4847,0.60827,9.24474,-1
phenacetin,179.218,103.122,13.44,37.2465,1.609,11.948,0.5897,0.28394,8.82604,-1
phenazopyridine,213.2414,160.982,21.34,64.826,-0.8185,13.8,1.3528,1.07707,14.26,-1
pheniramine,240.347,199.753,26.92,17.2961,2.605,5.3295,0.2532,0.06294,6.03587,-1
Phenolphthalein,318.328,171.447,19.83,31.753,3.789,7.9206,0.9816,0.60766,14.8069,-1
phenoxybenzamine,303.831,173.253,21.72,38.0598,4.3146,9.5171,0.2513,0.05553,5.96358,-1
Phenylbutazone,308.379,178.593,21.82,23.7635,0.995,7.8523,0.461,0.05572,6.51322,-1
pirbuterol,240.302,186.505,26.59,68.5973,0.1066,15.079,1.6078,0.97873,17.2623,-1
Polythiazide,439.87,199.357,25.89,79.0971,0.0008,16.179,1.7154,0.88035,16.3174,-1
prazosin,383.406,229.603,28.81,84.1259,-0.0053,18.848,1.4721,0.54714,12.1142,-1
prednisolone,360.449,251.119,33.37,33.2564,-1.4008,7.3841,1.65,0.76387,15.4378,-1
prednisone,358.433,242.872,31.93,32.9522,-1.8628,7.3694,1.5105,0.53829,13.8354,-1
probenecid,285.357,157.535,20.76,62.7364,3.136,15.644,0.9655,0.29972,11.0199,-1
progesterone,314.467,204.948,25.9,11.2853,4.335,2.799,0.4368,0.00495,6.63421,-1
propranolol,259.347,151.092,18.97,36.436,2.4338,8.7231,0.7291,0.436,9.59265,-1
proscillaridin,530.657,361.003,47.18,39.9123,4.7306,9.24,1.944,0.92952,11.8398,-1
puromycin,471.515,289.645,37.44,67.6296,-1.2838,15.792,2.5964,1.25215,14.2959,-1
quinidine,324.422,186.816,22.61,28.6244,2.3116,9.0071,0.8617,0.31523,11.2767,-1
ribavarin,244.207,120.71,15.8,100,-2.9006,20,2.2422,1.22236,18.989,-1
rifampin,822.951,489.992,63.58,59.186,1.0672,14.691,3.4197,1.56462,15.7408,-1
salicylicacid,138.123,71.5378,9.124,55.8614,1.218,12.459,0.8654,0.56709,17.073,-1
scopolamine,318.3919,191.136,24.08,75.3614,1.4188,15.157,0.7675,0.25473,10.0616,-1
Spironolactone,416.574,257.6,32.58,28.0484,4.4606,7.4952,0.7958,0.00502,7.31896,-1
Stanozolol,328.497,223.69,28.12,15.573,5.23,3.5336,0.6409,0.52238,9.58619,-1
sulfasalazine,398.392,213.513,26.26,84.9605,-2.9837,18.288,1.477,0.93785,15.0043,-1
Terconazole,532.469,304.611,37.99,68.1939,6.5688,16.198,0.9041,0.09305,6.72487,-1
testolactone,300.3968,205.906,26.67,19.9009,3.433,5.5947,0.5553,0.01389,7.52859,-1
testosterone,288.429,181.713,22.82,13.8033,3.529,3.1216,0.5779,0.23164,10.5197,-1
TetraCycline,444.44,240.953,30.48,64.8744,-7.8772,15.536,3.2504,1.86879,20.94,-1
theophylline,180.166,90.3217,11.35,100,0.2021,20,0.8354,0.27728,10.6627,-1
thioguanine,167.188,77.9088,9.504,94.5837,-0.9021,19.879,1.4832,1.10941,17.3205,-1
tolazamide,311.3982,179.386,23.37,54.1322,4.488,12.858,0.932,0.60188,10.0246,-1
tolbutamide,270.3458,148.793,19.6,50.1809,4.997,12.736,0.9391,0.58071,10.4155,-1
Triamcinolone,394.439,263.878,35.27,39.1234,-3.0376,8.2703,2.1255,0.99188,16.1291,-1
Triamterene,253.266,134.617,16.05,65.5448,-1.0061,13.911,2.2953,1.58537,17.507,-1
Trichlormethiazide,380.648,186.84,24.75,99.1272,-0.7306,19.947,1.417,1.19716,16.4578,-1
valinomycin,1111.33,705.075,97.18,49.8064,0.4756,14.155,4.9882,1.50676,8.46004,-1
verapamil,454.608,284.776,37.21,27.0892,4.186,8.8036,0.6603,0.03466,8.34602,-1
warfarin,308.333,167.236,19.9,31.5172,3.14,8.112,0.7801,0.32007,9.33301,-1
yohimbine,354.448,198.626,23.76,32.0197,1.494,7.962,1.0433,0.50342,11.5456,-1
zidovudine,267.244,151.885,20.12,89.3704,-2.0662,18.875,2.0797,0.50174,13.8477,-1
